iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
37,"(8, 16)","(9, 16)",West,"[((7, 16), 'West', 1)]","[(8, 16), (26, 14), (31, 12)]","[(7, 16), (26, 14), (31, 12)]","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (30, 14), (11, 16), (33, 16), (32, 14), (24, 16), (13, 16), (25, 15), (26, 16), (15, 16), (34, 14), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16), (25, 14)]",26,22,48
38,"(7, 16)","(8, 16)",West,"[((6, 16), 'West', 1)]","[(7, 16), (26, 14), (31, 12)]","[(6, 16), (26, 14), (31, 12)]","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (30, 14), (11, 16), (33, 16), (32, 14), (24, 16), (13, 16), (25, 15), (26, 16), (15, 16), (34, 14), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16), (25, 14)]",27,21,48
39,"(6, 16)","(7, 16)",West,"[((5, 16), 'West', 1)]","[(6, 16), (26, 14), (31, 12)]","[(5, 16), (26, 14), (31, 12)]","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (30, 14), (11, 16), (33, 16), (32, 14), (24, 16), (13, 16), (25, 15), (26, 16), (15, 16), (6, 16), (34, 14), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16), (25, 14)]",28,20,48
40,"(5, 16)","(6, 16)",West,"[((4, 16), 'West', 1)]","[(5, 16), (26, 14), (31, 12)]","[(4, 16), (26, 14), (31, 12)]","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (5, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (30, 14), (11, 16), (33, 16), (32, 14), (24, 16), (13, 16), (25, 15), (26, 16), (15, 16), (6, 16), (34, 14), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16), (25, 14)]",29,19,48
41,"(4, 16)","(5, 16)",West,"[((3, 16), 'West', 1)]","[(4, 16), (26, 14), (31, 12)]","[(3, 16), (26, 14), (31, 12)]","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (5, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (30, 14), (11, 16), (33, 16), (32, 14), (24, 16), (13, 16), (25, 15), (26, 16), (15, 16), (6, 16), (34, 14), (4, 16), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16), (25, 14)]",30,18,48
42,"(3, 16)","(4, 16)",West,"[((2, 16), 'West', 1)]","[(3, 16), (26, 14), (31, 12)]","[(2, 16), (26, 14), (31, 12)]","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (3, 16), (5, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (30, 14), (11, 16), (33, 16), (32, 14), (24, 16), (13, 16), (25, 15), (26, 16), (15, 16), (6, 16), (34, 14), (4, 16), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16), (25, 14)]",31,17,48
43,"(2, 16)","(3, 16)",West,"[((1, 16), 'West', 1)]","[(2, 16), (26, 14), (31, 12)]","[(1, 16), (26, 14), (31, 12)]","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (3, 16), (5, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (30, 14), (11, 16), (33, 16), (32, 14), (2, 16), (24, 16), (13, 16), (25, 15), (26, 16), (15, 16), (6, 16), (34, 14), (4, 16), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16), (25, 14)]",32,16,48
44,"(1, 16)","(2, 16)",West,"[((1, 15), 'South', 1)]","[(1, 16), (26, 14), (31, 12)]","[(1, 15), (26, 14), (31, 12)]","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (3, 16), (5, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (30, 14), (11, 16), (33, 16), (32, 14), (2, 16), (24, 16), (13, 16), (25, 15), (26, 16), (15, 16), (6, 16), (34, 14), (4, 16), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16), (25, 14), (1, 16)]",33,15,48
45,"(1, 15)","(1, 16)",South,"[((1, 14), 'South', 1)]","[(1, 15), (26, 14), (31, 12)]","[(1, 14), (26, 14), (31, 12)]","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (3, 16), (5, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (1, 15), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (30, 14), (11, 16), (33, 16), (32, 14), (2, 16), (24, 16), (13, 16), (25, 15), (26, 16), (15, 16), (6, 16), (34, 14), (4, 16), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16), (25, 14), (1, 16)]",34,14,48
46,"(1, 14)","(1, 15)",South,"[((1, 13), 'South', 1)]","[(1, 14), (26, 14), (31, 12)]","[(1, 13), (26, 14), (31, 12)]","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (3, 16), (5, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (1, 15), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (30, 14), (11, 16), (33, 16), (32, 14), (2, 16), (24, 16), (13, 16), (25, 15), (1, 14), (26, 16), (15, 16), (6, 16), (34, 14), (4, 16), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16), (25, 14), (1, 16)]",35,13,48
47,"(1, 13)","(1, 14)",South,"[((1, 12), 'South', 1)]","[(1, 13), (26, 14), (31, 12)]","[(1, 12), (26, 14), (31, 12)]","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (3, 16), (5, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (1, 15), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (30, 14), (11, 16), (33, 16), (32, 14), (2, 16), (24, 16), (13, 16), (25, 15), (1, 14), (26, 16), (15, 16), (6, 16), (34, 14), (4, 16), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16), (1, 13), (25, 14), (1, 16)]",36,12,48
48,"(1, 12)","(1, 13)",South,"[((1, 11), 'South', 1)]","[(1, 12), (26, 14), (31, 12)]","[(1, 11), (26, 14), (31, 12)]","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (3, 16), (5, 16), (27, 16), (30, 12), (33, 14), (25, 16), (1, 12), (16, 16), (1, 15), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (30, 14), (11, 16), (33, 16), (32, 14), (2, 16), (24, 16), (13, 16), (25, 15), (1, 14), (26, 16), (15, 16), (6, 16), (34, 14), (4, 16), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16), (1, 13), (25, 14), (1, 16)]",37,11,48
