iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
43,"(13, 13)","(13, 12)",North,"[((12, 13), 'West', 1)]","['(13, 13)', '(25, 6)']","['(25, 6)', '(12, 13)']","[(21, 10), (23, 7), (22, 5), (21, 13), (17, 9), (17, 6), (17, 12), (13, 5), (13, 11), (24, 5), (13, 8), (15, 5), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (22, 7), (14, 9), (17, 5), (17, 11), (17, 8), (19, 11), (13, 7), (13, 10), (13, 13), (21, 5), (21, 8), (23, 5), (21, 11), (14, 5), (17, 7), (17, 10), (17, 13), (19, 13), (25, 5), (13, 9), (16, 5), (13, 6), (15, 9), (13, 12), (18, 11), (21, 7)]",18,0,18
44,"(25, 6)","(25, 5)",North,"[((25, 7), 'North', 1)]","['(25, 6)', '(12, 13)']","['(12, 13)', '(25, 7)']","[(21, 10), (23, 7), (22, 5), (21, 13), (17, 9), (17, 6), (17, 12), (13, 5), (13, 11), (24, 5), (13, 8), (15, 5), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (22, 7), (14, 9), (17, 5), (17, 11), (17, 8), (19, 11), (13, 7), (25, 6), (13, 10), (13, 13), (21, 5), (21, 8), (23, 5), (21, 11), (14, 5), (17, 7), (17, 10), (17, 13), (19, 13), (25, 5), (13, 9), (16, 5), (13, 6), (15, 9), (13, 12), (18, 11), (21, 7)]",19,0,19
45,"(12, 13)","(13, 13)",West,"[((11, 13), 'West', 1)]","['(12, 13)', '(25, 7)']","['(25, 7)', '(11, 13)']","[(21, 10), (23, 7), (22, 5), (21, 13), (12, 13), (17, 9), (17, 6), (17, 12), (13, 5), (13, 11), (24, 5), (13, 8), (15, 5), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (22, 7), (14, 9), (17, 5), (17, 11), (17, 8), (19, 11), (13, 7), (25, 6), (13, 10), (13, 13), (21, 5), (21, 8), (23, 5), (21, 11), (14, 5), (17, 7), (17, 10), (17, 13), (19, 13), (25, 5), (13, 9), (16, 5), (13, 6), (15, 9), (13, 12), (18, 11), (21, 7)]",19,0,19
46,"(25, 7)","(25, 6)",North,"[((25, 8), 'North', 1)]","['(25, 7)', '(11, 13)']","['(11, 13)', '(25, 8)']","[(21, 10), (23, 7), (22, 5), (21, 13), (12, 13), (17, 9), (17, 6), (17, 12), (25, 7), (13, 5), (13, 11), (24, 5), (13, 8), (15, 5), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (22, 7), (14, 9), (17, 5), (17, 11), (17, 8), (19, 11), (13, 7), (25, 6), (13, 10), (13, 13), (21, 5), (21, 8), (23, 5), (21, 11), (14, 5), (17, 7), (17, 10), (17, 13), (19, 13), (25, 5), (13, 9), (16, 5), (13, 6), (15, 9), (13, 12), (18, 11), (21, 7)]",20,0,20
47,"(11, 13)","(12, 13)",West,"[((10, 13), 'West', 1)]","['(11, 13)', '(25, 8)']","['(25, 8)', '(10, 13)']","[(21, 10), (23, 7), (22, 5), (21, 13), (12, 13), (17, 9), (17, 6), (17, 12), (25, 7), (13, 5), (13, 11), (24, 5), (13, 8), (15, 5), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (22, 7), (14, 9), (17, 5), (17, 11), (17, 8), (19, 11), (13, 7), (25, 6), (11, 13), (13, 10), (13, 13), (21, 5), (21, 8), (23, 5), (21, 11), (14, 5), (17, 7), (17, 10), (17, 13), (19, 13), (25, 5), (13, 9), (16, 5), (13, 6), (15, 9), (13, 12), (18, 11), (21, 7)]",20,0,20
48,"(25, 8)","(25, 7)",North,"[((25, 9), 'North', 1)]","['(25, 8)', '(10, 13)']","['(10, 13)', '(25, 9)']","[(21, 10), (23, 7), (22, 5), (21, 13), (12, 13), (17, 9), (17, 6), (17, 12), (25, 7), (13, 5), (13, 11), (24, 5), (13, 8), (15, 5), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (22, 7), (14, 9), (17, 5), (17, 11), (17, 8), (19, 11), (13, 7), (25, 6), (11, 13), (13, 10), (13, 13), (21, 5), (21, 8), (23, 5), (21, 11), (14, 5), (17, 7), (17, 10), (17, 13), (19, 13), (25, 5), (13, 9), (25, 8), (16, 5), (13, 6), (15, 9), (13, 12), (18, 11), (21, 7)]",21,0,21
49,"(10, 13)","(11, 13)",West,"[((9, 13), 'West', 1)]","['(10, 13)', '(25, 9)']","['(25, 9)', '(9, 13)']","[(21, 10), (23, 7), (22, 5), (21, 13), (12, 13), (17, 9), (17, 6), (17, 12), (25, 7), (13, 5), (13, 11), (24, 5), (13, 8), (15, 5), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (22, 7), (14, 9), (17, 5), (17, 11), (17, 8), (19, 11), (13, 7), (25, 6), (11, 13), (13, 10), (13, 13), (21, 5), (21, 8), (23, 5), (21, 11), (14, 5), (17, 7), (17, 10), (17, 13), (10, 13), (19, 13), (25, 5), (13, 9), (25, 8), (16, 5), (13, 6), (15, 9), (13, 12), (18, 11), (21, 7)]",21,0,21
50,"(25, 9)","(25, 8)",North,"[((25, 10), 'North', 1)]","['(25, 9)', '(9, 13)']","['(9, 13)', '(25, 10)']","[(21, 10), (23, 7), (22, 5), (21, 13), (12, 13), (17, 9), (17, 6), (17, 12), (25, 7), (13, 5), (13, 11), (24, 5), (13, 8), (15, 5), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (22, 7), (14, 9), (17, 5), (17, 11), (17, 8), (19, 11), (25, 9), (13, 7), (25, 6), (11, 13), (13, 10), (13, 13), (21, 5), (21, 8), (23, 5), (21, 11), (14, 5), (17, 7), (17, 10), (17, 13), (10, 13), (19, 13), (25, 5), (13, 9), (25, 8), (16, 5), (13, 6), (15, 9), (13, 12), (18, 11), (21, 7)]",22,0,22
51,"(9, 13)","(10, 13)",West,"[((9, 12), 'South', 1)]","['(9, 13)', '(25, 10)']","['(25, 10)', '(9, 12)']","[(21, 10), (23, 7), (22, 5), (21, 13), (12, 13), (17, 9), (17, 6), (17, 12), (25, 7), (13, 5), (13, 11), (24, 5), (13, 8), (15, 5), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (22, 7), (14, 9), (17, 5), (17, 11), (17, 8), (19, 11), (9, 13), (25, 9), (13, 7), (25, 6), (11, 13), (13, 10), (13, 13), (21, 5), (21, 8), (23, 5), (21, 11), (14, 5), (17, 7), (17, 10), (17, 13), (10, 13), (19, 13), (25, 5), (13, 9), (25, 8), (16, 5), (13, 6), (15, 9), (13, 12), (18, 11), (21, 7)]",22,0,22
52,"(25, 10)","(25, 9)",North,"[((25, 11), 'North', 1)]","['(25, 10)', '(9, 12)']","['(9, 12)', '(25, 11)']","[(21, 10), (23, 7), (22, 5), (21, 13), (12, 13), (17, 9), (17, 6), (17, 12), (25, 7), (13, 5), (13, 11), (24, 5), (25, 10), (13, 8), (15, 5), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (22, 7), (14, 9), (17, 5), (17, 11), (17, 8), (19, 11), (9, 13), (25, 9), (13, 7), (25, 6), (11, 13), (13, 10), (13, 13), (21, 5), (21, 8), (23, 5), (21, 11), (14, 5), (17, 7), (17, 10), (17, 13), (10, 13), (19, 13), (25, 5), (13, 9), (25, 8), (16, 5), (13, 6), (15, 9), (13, 12), (18, 11), (21, 7)]",23,0,23
