iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
36,"(6, 11)","(6, 12)",South,"[((6, 10), 'South', 1)]","['(6, 11)', '(7, 12)', '(10, 15)', '(8, 13)', '(5, 9)', '(1, 9)', '(2, 8)', '(9, 14)', '(3, 7)']","['(7, 12)', '(8, 13)', '(10, 15)', '(9, 14)', '(5, 9)', '(1, 9)', '(2, 8)', '(3, 7)', '(6, 10)']","[(6, 12), (6, 15), (4, 9), (3, 10), (5, 13), (4, 15), (3, 13), (8, 15), (2, 14), (1, 12), (1, 15), (6, 11), (6, 14), (7, 13), (3, 9), (3, 12), (3, 15), (5, 12), (5, 15), (2, 10), (1, 14), (2, 13), (6, 13), (7, 15), (3, 11), (3, 8), (3, 14), (4, 13), (5, 14), (9, 15), (2, 9), (1, 13), (2, 12), (1, 10), (2, 15), (7, 14)]",9,0,9
37,"(7, 12)","(6, 12)",East,[],"['(7, 12)', '(8, 13)', '(10, 15)', '(9, 14)', '(5, 9)', '(1, 9)', '(2, 8)', '(3, 7)', '(6, 10)']","['(8, 13)', '(9, 14)', '(10, 15)', '(3, 7)', '(5, 9)', '(1, 9)', '(2, 8)', '(6, 10)']","[(6, 12), (6, 15), (4, 9), (3, 10), (5, 13), (4, 15), (3, 13), (8, 15), (2, 14), (1, 12), (1, 15), (6, 11), (6, 14), (7, 13), (3, 9), (3, 12), (3, 15), (5, 12), (5, 15), (2, 10), (1, 14), (2, 13), (6, 13), (7, 12), (7, 15), (3, 11), (3, 8), (3, 14), (4, 13), (5, 14), (9, 15), (2, 9), (1, 13), (2, 12), (1, 10), (2, 15), (7, 14)]",9,0,9
38,"(8, 13)","(7, 13)",East,"[((9, 13), 'East', 1)]","['(8, 13)', '(9, 14)', '(10, 15)', '(3, 7)', '(5, 9)', '(1, 9)', '(2, 8)', '(6, 10)']","['(9, 14)', '(3, 7)', '(10, 15)', '(6, 10)', '(5, 9)', '(1, 9)', '(2, 8)', '(9, 13)']","[(6, 12), (6, 15), (4, 9), (3, 10), (5, 13), (4, 15), (3, 13), (8, 15), (2, 14), (1, 12), (1, 15), (6, 11), (6, 14), (7, 13), (3, 9), (3, 12), (3, 15), (5, 12), (5, 15), (2, 10), (1, 14), (2, 13), (6, 13), (7, 12), (7, 15), (3, 11), (3, 8), (3, 14), (4, 13), (5, 14), (9, 15), (8, 13), (2, 9), (1, 13), (2, 12), (1, 10), (2, 15), (7, 14)]",9,0,9
39,"(9, 14)","(9, 15)",South,"[((10, 14), 'East', 1)]","['(9, 14)', '(3, 7)', '(10, 15)', '(6, 10)', '(5, 9)', '(1, 9)', '(2, 8)', '(9, 13)']","['(10, 15)', '(3, 7)', '(2, 8)', '(6, 10)', '(5, 9)', '(1, 9)', '(9, 13)', '(10, 14)']","[(6, 12), (6, 15), (4, 9), (3, 10), (5, 13), (4, 15), (3, 13), (9, 14), (8, 15), (2, 14), (1, 12), (1, 15), (6, 11), (6, 14), (7, 13), (3, 9), (3, 12), (3, 15), (5, 12), (5, 15), (2, 10), (1, 14), (2, 13), (6, 13), (7, 12), (7, 15), (3, 11), (3, 8), (3, 14), (4, 13), (5, 14), (9, 15), (8, 13), (2, 9), (1, 13), (2, 12), (1, 10), (2, 15), (7, 14)]",9,0,9
40,"(10, 15)","(9, 15)",East,"[((11, 15), 'East', 1)]","['(10, 15)', '(3, 7)', '(2, 8)', '(6, 10)', '(5, 9)', '(1, 9)', '(9, 13)', '(10, 14)']","['(3, 7)', '(5, 9)', '(2, 8)', '(6, 10)', '(10, 14)', '(1, 9)', '(9, 13)', '(11, 15)']","[(6, 12), (6, 15), (4, 9), (3, 10), (5, 13), (4, 15), (3, 13), (9, 14), (8, 15), (2, 14), (1, 12), (10, 15), (1, 15), (6, 11), (6, 14), (7, 13), (3, 9), (3, 12), (3, 15), (5, 12), (5, 15), (2, 10), (1, 14), (2, 13), (6, 13), (7, 12), (7, 15), (3, 11), (3, 8), (3, 14), (4, 13), (5, 14), (9, 15), (8, 13), (2, 9), (1, 13), (2, 12), (1, 10), (2, 15), (7, 14)]",9,0,9
41,"(3, 7)","(3, 8)",South,"[((3, 6), 'South', 1), ((4, 7), 'East', 1), ((2, 7), 'West', 1)]","['(3, 7)', '(5, 9)', '(2, 8)', '(6, 10)', '(10, 14)', '(1, 9)', '(9, 13)', '(11, 15)']","['(2, 8)', '(5, 9)', '(1, 9)', '(6, 10)', '(10, 14)', '(11, 15)', '(9, 13)', '(3, 6)', '(4, 7)', '(2, 7)']","[(6, 12), (6, 15), (4, 9), (3, 7), (3, 10), (5, 13), (4, 15), (3, 13), (9, 14), (8, 15), (2, 14), (1, 12), (10, 15), (1, 15), (6, 11), (6, 14), (7, 13), (3, 9), (3, 12), (3, 15), (5, 12), (5, 15), (2, 10), (1, 14), (2, 13), (6, 13), (7, 12), (7, 15), (3, 11), (3, 8), (3, 14), (4, 13), (5, 14), (9, 15), (8, 13), (2, 9), (1, 13), (2, 12), (1, 10), (2, 15), (7, 14)]",10,0,10
42,"(2, 8)","(3, 8)",West,"[((1, 8), 'West', 1)]","['(2, 8)', '(5, 9)', '(1, 9)', '(6, 10)', '(10, 14)', '(11, 15)', '(9, 13)', '(3, 6)', '(4, 7)', '(2, 7)']","['(5, 9)', '(6, 10)', '(1, 9)', '(3, 6)', '(10, 14)', '(11, 15)', '(9, 13)', '(2, 7)', '(4, 7)', '(1, 8)']","[(6, 12), (6, 15), (4, 9), (3, 7), (3, 10), (5, 13), (4, 15), (3, 13), (9, 14), (8, 15), (2, 8), (2, 14), (1, 12), (10, 15), (1, 15), (6, 11), (6, 14), (7, 13), (3, 9), (3, 12), (3, 15), (5, 12), (5, 15), (2, 10), (1, 14), (2, 13), (6, 13), (7, 12), (7, 15), (3, 11), (3, 8), (3, 14), (4, 13), (5, 14), (9, 15), (8, 13), (2, 9), (1, 13), (2, 12), (1, 10), (2, 15), (7, 14)]",10,0,10
43,"(5, 9)","(4, 9)",East,"[((5, 10), 'North', 1), ((5, 8), 'South', 1), ((6, 9), 'East', 1)]","['(5, 9)', '(6, 10)', '(1, 9)', '(3, 6)', '(10, 14)', '(11, 15)', '(9, 13)', '(2, 7)', '(4, 7)', '(1, 8)']","['(1, 9)', '(6, 10)', '(9, 13)', '(3, 6)', '(10, 14)', '(11, 15)', '(1, 8)', '(2, 7)', '(4, 7)', '(5, 10)', '(5, 8)', '(6, 9)']","[(6, 12), (6, 15), (4, 9), (3, 7), (3, 10), (5, 13), (4, 15), (3, 13), (9, 14), (8, 15), (2, 8), (2, 14), (1, 12), (10, 15), (1, 15), (6, 11), (6, 14), (7, 13), (3, 9), (3, 12), (5, 9), (3, 15), (5, 12), (5, 15), (2, 10), (1, 14), (2, 13), (6, 13), (7, 12), (7, 15), (3, 11), (3, 8), (3, 14), (4, 13), (5, 14), (9, 15), (8, 13), (2, 9), (1, 13), (2, 12), (1, 10), (2, 15), (7, 14)]",10,0,10
44,"(1, 9)","(2, 9)",West,[],"['(1, 9)', '(6, 10)', '(9, 13)', '(3, 6)', '(10, 14)', '(11, 15)', '(1, 8)', '(2, 7)', '(4, 7)', '(5, 10)', '(5, 8)', '(6, 9)']","['(6, 10)', '(10, 14)', '(9, 13)', '(3, 6)', '(5, 10)', '(11, 15)', '(1, 8)', '(2, 7)', '(4, 7)', '(6, 9)', '(5, 8)']","[(6, 12), (6, 15), (4, 9), (3, 7), (3, 10), (5, 13), (4, 15), (3, 13), (9, 14), (8, 15), (1, 9), (2, 8), (2, 14), (1, 12), (10, 15), (1, 15), (6, 11), (6, 14), (7, 13), (3, 9), (3, 12), (5, 9), (3, 15), (5, 12), (5, 15), (2, 10), (1, 14), (2, 13), (6, 13), (7, 12), (7, 15), (3, 11), (3, 8), (3, 14), (4, 13), (5, 14), (9, 15), (8, 13), (2, 9), (1, 13), (2, 12), (1, 10), (2, 15), (7, 14)]",10,0,10
45,"(6, 10)","(6, 11)",South,"[((7, 10), 'East', 1)]","['(6, 10)', '(10, 14)', '(9, 13)', '(3, 6)', '(5, 10)', '(11, 15)', '(1, 8)', '(2, 7)', '(4, 7)', '(6, 9)', '(5, 8)']","['(9, 13)', '(10, 14)', '(11, 15)', '(3, 6)', '(5, 10)', '(5, 8)', '(1, 8)', '(2, 7)', '(4, 7)', '(6, 9)', '(7, 10)']","[(6, 12), (6, 15), (4, 9), (3, 7), (3, 10), (5, 13), (4, 15), (3, 13), (9, 14), (8, 15), (1, 9), (2, 8), (2, 14), (1, 12), (10, 15), (1, 15), (6, 11), (6, 14), (7, 13), (3, 9), (3, 12), (5, 9), (3, 15), (5, 12), (5, 15), (2, 10), (1, 14), (2, 13), (6, 13), (7, 12), (6, 10), (7, 15), (3, 11), (3, 8), (3, 14), (4, 13), (5, 14), (9, 15), (8, 13), (2, 9), (1, 13), (2, 12), (1, 10), (2, 15), (7, 14)]",10,0,10
