iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
42,"(8, 3)","(8, 2)",North,"[((7, 3), 'West', 1)]","[(8, 3), (14, 4), (16, 4)]","[(7, 3), (14, 4), (16, 4)]","[(12, 1), (14, 1), (17, 9), (8, 3), (10, 6), (10, 3), (10, 9), (16, 1), (18, 4), (18, 1), (18, 7), (12, 3), (12, 9), (14, 3), (14, 9), (8, 2), (9, 1), (10, 2), (10, 5), (10, 8), (13, 1), (16, 3), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (12, 2), (14, 2), (17, 1), (8, 1), (10, 4), (11, 3), (11, 9), (10, 7), (10, 1), (16, 2), (13, 9), (18, 2), (15, 9), (18, 5), (18, 8)]",20,9,29
43,"(7, 3)","(8, 3)",West,"[((6, 3), 'West', 1)]","[(7, 3), (14, 4), (16, 4)]","[(6, 3), (14, 4), (16, 4)]","[(12, 1), (14, 1), (17, 9), (8, 3), (10, 6), (10, 3), (10, 9), (16, 1), (18, 4), (18, 1), (18, 7), (12, 3), (12, 9), (14, 3), (14, 9), (8, 2), (9, 1), (10, 2), (10, 5), (10, 8), (13, 1), (16, 3), (16, 9), (15, 1), (18, 3), (18, 9), (7, 3), (18, 6), (12, 2), (14, 2), (17, 1), (8, 1), (10, 4), (11, 3), (11, 9), (10, 7), (10, 1), (16, 2), (13, 9), (18, 2), (15, 9), (18, 5), (18, 8)]",21,8,29
44,"(6, 3)","(7, 3)",West,"[((6, 2), 'South', 1)]","[(6, 3), (14, 4), (16, 4)]","[(6, 2), (14, 4), (16, 4)]","[(12, 1), (14, 1), (17, 9), (8, 3), (10, 6), (10, 3), (10, 9), (16, 1), (18, 4), (18, 1), (18, 7), (12, 3), (12, 9), (14, 3), (14, 9), (8, 2), (9, 1), (10, 2), (10, 5), (10, 8), (13, 1), (16, 3), (16, 9), (15, 1), (18, 3), (18, 9), (7, 3), (18, 6), (12, 2), (14, 2), (17, 1), (8, 1), (10, 4), (11, 3), (11, 9), (10, 7), (10, 1), (16, 2), (13, 9), (18, 2), (15, 9), (18, 5), (6, 3), (18, 8)]",22,7,29
45,"(6, 2)","(6, 3)",South,"[((6, 1), 'South', 1)]","[(6, 2), (14, 4), (16, 4)]","[(6, 1), (14, 4), (16, 4)]","[(12, 1), (14, 1), (17, 9), (8, 3), (10, 6), (10, 3), (10, 9), (16, 1), (18, 4), (6, 2), (18, 1), (18, 7), (12, 3), (12, 9), (14, 3), (14, 9), (8, 2), (9, 1), (10, 2), (10, 5), (10, 8), (13, 1), (16, 3), (16, 9), (15, 1), (18, 3), (18, 9), (7, 3), (18, 6), (12, 2), (14, 2), (17, 1), (8, 1), (10, 4), (11, 3), (11, 9), (10, 7), (10, 1), (16, 2), (13, 9), (18, 2), (15, 9), (18, 5), (6, 3), (18, 8)]",23,6,29
46,"(6, 1)","(6, 2)",South,"[((5, 1), 'West', 1)]","[(6, 1), (14, 4), (16, 4)]","[(5, 1), (14, 4), (16, 4)]","[(12, 1), (14, 1), (17, 9), (8, 3), (10, 6), (10, 3), (10, 9), (16, 1), (18, 4), (6, 2), (18, 1), (18, 7), (12, 3), (12, 9), (14, 3), (14, 9), (8, 2), (9, 1), (10, 2), (10, 5), (10, 8), (13, 1), (6, 1), (16, 3), (16, 9), (15, 1), (18, 3), (18, 9), (7, 3), (18, 6), (12, 2), (14, 2), (17, 1), (8, 1), (10, 4), (11, 3), (11, 9), (10, 7), (10, 1), (16, 2), (13, 9), (18, 2), (15, 9), (18, 5), (6, 3), (18, 8)]",24,5,29
47,"(5, 1)","(6, 1)",West,"[((4, 1), 'West', 1)]","[(5, 1), (14, 4), (16, 4)]","[(4, 1), (14, 4), (16, 4)]","[(12, 1), (14, 1), (5, 1), (17, 9), (8, 3), (10, 6), (10, 3), (10, 9), (16, 1), (18, 4), (6, 2), (18, 1), (18, 7), (12, 3), (12, 9), (14, 3), (14, 9), (8, 2), (9, 1), (10, 2), (10, 5), (10, 8), (13, 1), (6, 1), (16, 3), (16, 9), (15, 1), (18, 3), (18, 9), (7, 3), (18, 6), (12, 2), (14, 2), (17, 1), (8, 1), (10, 4), (11, 3), (11, 9), (10, 7), (10, 1), (16, 2), (13, 9), (18, 2), (15, 9), (18, 5), (6, 3), (18, 8)]",25,4,29
48,"(4, 1)","(5, 1)",West,"[((3, 1), 'West', 1)]","[(4, 1), (14, 4), (16, 4)]","[(3, 1), (14, 4), (16, 4)]","[(12, 1), (14, 1), (5, 1), (17, 9), (8, 3), (10, 6), (10, 3), (10, 9), (16, 1), (18, 4), (6, 2), (18, 1), (18, 7), (12, 3), (12, 9), (14, 3), (14, 9), (8, 2), (9, 1), (10, 2), (10, 5), (10, 8), (13, 1), (6, 1), (16, 3), (16, 9), (15, 1), (18, 3), (18, 9), (7, 3), (18, 6), (12, 2), (14, 2), (4, 1), (17, 1), (8, 1), (10, 4), (11, 3), (11, 9), (10, 7), (10, 1), (16, 2), (13, 9), (18, 2), (15, 9), (18, 5), (6, 3), (18, 8)]",26,3,29
49,"(3, 1)","(4, 1)",West,"[((2, 1), 'West', 1)]","[(3, 1), (14, 4), (16, 4)]","[(2, 1), (14, 4), (16, 4)]","[(12, 1), (14, 1), (3, 1), (5, 1), (17, 9), (8, 3), (10, 6), (10, 3), (10, 9), (16, 1), (18, 4), (6, 2), (18, 1), (18, 7), (12, 3), (12, 9), (14, 3), (14, 9), (8, 2), (9, 1), (10, 2), (10, 5), (10, 8), (13, 1), (6, 1), (16, 3), (16, 9), (15, 1), (18, 3), (18, 9), (7, 3), (18, 6), (12, 2), (14, 2), (4, 1), (17, 1), (8, 1), (10, 4), (11, 3), (11, 9), (10, 7), (10, 1), (16, 2), (13, 9), (18, 2), (15, 9), (18, 5), (6, 3), (18, 8)]",27,2,29
50,"(2, 1)","(3, 1)",West,"[((1, 1), 'West', 1)]","[(2, 1), (14, 4), (16, 4)]","[(1, 1), (14, 4), (16, 4)]","[(12, 1), (14, 1), (3, 1), (5, 1), (17, 9), (8, 3), (10, 6), (10, 3), (10, 9), (16, 1), (18, 4), (6, 2), (18, 1), (18, 7), (12, 3), (12, 9), (14, 3), (14, 9), (8, 2), (9, 1), (10, 2), (10, 5), (2, 1), (10, 8), (13, 1), (6, 1), (16, 3), (16, 9), (15, 1), (18, 3), (18, 9), (7, 3), (18, 6), (12, 2), (14, 2), (4, 1), (17, 1), (8, 1), (10, 4), (11, 3), (11, 9), (10, 7), (10, 1), (16, 2), (13, 9), (18, 2), (15, 9), (18, 5), (6, 3), (18, 8)]",28,1,29
51,"(1, 1)","(2, 1)",West,[],"[(1, 1), (14, 4), (16, 4)]","[(16, 4), (14, 4)]","[(12, 1), (14, 1), (3, 1), (5, 1), (17, 9), (8, 3), (10, 6), (10, 3), (10, 9), (16, 1), (18, 4), (6, 2), (18, 1), (18, 7), (12, 3), (12, 9), (14, 3), (14, 9), (8, 2), (9, 1), (10, 2), (10, 5), (2, 1), (10, 8), (13, 1), (6, 1), (16, 3), (16, 9), (15, 1), (18, 3), (18, 9), (7, 3), (18, 6), (12, 2), (14, 2), (4, 1), (17, 1), (8, 1), (10, 4), (1, 1), (11, 3), (11, 9), (10, 7), (10, 1), (16, 2), (13, 9), (18, 2), (15, 9), (18, 5), (6, 3), (18, 8)]",29,0,29
